amount_tsh,gps_height,population,age,public_meeting_True,permit_True,status_group
500.0,373,1,17.0,1,1,functional needs repair
50.0,1261,250,16.0,1,1,non functional
0.0,0,200,13.0,1,1,non functional
2000.0,1007,1,33.0,1,1,functional
2000.0,1114,1,31.0,1,1,functional
0.0,165,1000,18.0,1,0,functional
6.0,1421,30,14.0,1,1,functional
0.0,-19,500,15.0,1,0,non functional
500.0,1244,55,13.0,1,1,functional
100.0,357,1700,47.0,1,1,functional
0.0,1612,1,62.0,1,1,non functional
5000.0,1790,0,19.0,1,0,functional
0.0,64,800,36.0,1,1,non functional
1000.0,1591,1,38.0,1,1,functional
0.0,844,250,48.0,1,0,non functional
0.0,1257,210,11.0,1,1,non functional
250.0,1572,320,14.0,1,1,functional needs repair
100.0,338,2530,48.0,1,1,functional
0.0,1286,450,34.0,1,0,functional
0.0,326,1,27.0,1,1,functional
0.0,0,1,61.0,1,1,non functional
0.0,1445,80,50.0,1,0,functional
0.0,1886,1,38.0,0,0,functional needs repair
250.0,1343,50,40.0,1,1,functional
0.0,1499,450,12.0,1,0,functional
0.0,1564,150,20.0,1,1,non functional
500.0,991,150,25.0,0,1,functional needs repair
0.0,1415,1,46.0,0,1,non functional
500.0,1822,0,31.0,1,1,functional
0.0,1349,500,14.0,1,0,non functional
0.0,524,450,52.0,1,1,non functional
0.0,1542,230,24.0,1,1,non functional
0.0,1491,96,13.0,1,1,functional
10.0,1602,150,30.0,1,1,functional
0.0,991,100,59.0,1,0,functional
0.0,201,1,40.0,1,1,non functional
0.0,1220,300,23.0,1,1,non functional
0.0,334,36,44.0,1,1,non functional
0.0,1773,150,12.0,1,1,functional needs repair
0.0,828,900,12.0,1,1,non functional
0.0,290,500,25.0,1,0,non functional
0.0,1230,350,32.0,1,0,non functional
0.0,1632,200,38.0,1,0,functional
0.0,-32,500,51.0,1,1,non functional
0.0,237,150,23.0,1,0,non functional
0.0,1715,1,48.0,0,1,non functional
600.0,847,450,13.0,1,1,functional
200.0,482,86,14.0,1,1,functional
0.0,330,350,44.0,0,1,non functional
0.0,1652,25,28.0,1,1,functional
5000.0,572,1,24.0,1,0,functional
1000.0,2179,75,22.0,1,1,non functional
200.0,293,300,38.0,1,1,functional
0.0,1666,240,14.0,1,0,functional
200.0,887,203,27.0,1,1,functional
2000.0,1479,200,23.0,1,1,functional
0.0,1604,215,17.0,1,1,functional
0.0,1180,1,50.0,0,1,non functional
0.0,1849,360,14.0,1,0,non functional
500.0,480,98,30.0,1,1,functional
500.0,161,160,20.0,1,1,functional
50.0,226,450,10.0,1,1,functional
30.0,917,200,22.0,1,1,functional
0.0,1284,1200,46.0,1,1,functional
0.0,960,300,52.0,1,1,non functional
0.0,1200,200,14.0,1,1,functional
0.0,1177,1,14.0,1,1,non functional
200.0,1669,0,14.0,1,0,functional
250.0,1325,210,34.0,1,1,non functional
300.0,260,300,27.0,1,1,functional
0.0,1185,400,10.0,1,0,functional
0.0,1145,350,18.0,1,0,functional
0.0,256,120,18.0,1,1,functional
7200.0,1726,100,20.0,1,1,functional
500.0,317,500,14.0,1,1,functional
0.0,901,300,27.0,1,1,functional
0.0,1689,50,44.0,1,1,non functional
50.0,-45,1,16.0,1,1,non functional
20.0,513,1,23.0,1,0,functional
50.0,674,1,11.0,1,0,functional needs repair
1500.0,701,400,13.0,1,1,functional
0.0,980,100,50.0,1,1,functional needs repair
10.0,1580,250,20.0,1,1,functional
0.0,1362,450,14.0,1,0,functional
0.0,356,309,27.0,1,1,functional
0.0,995,0,38.0,1,1,functional
20.0,1020,100,12.0,1,1,functional
500.0,1694,95,30.0,1,1,functional
0.0,1455,60,38.0,1,0,non functional
500.0,1804,130,13.0,1,1,functional
0.0,1576,80,19.0,1,1,functional
1200.0,1772,0,22.0,1,1,functional
2000.0,729,360,23.0,1,0,non functional
20.0,459,250,18.0,1,1,functional
10.0,965,159,54.0,1,1,functional
0.0,1244,1000,11.0,1,1,functional
6000.0,1529,1,37.0,1,1,functional
0.0,486,130,42.0,1,1,functional needs repair
1000.0,375,1,15.0,1,0,functional
0.0,743,1,48.0,0,0,non functional
0.0,530,200,40.0,1,1,non functional
0.0,1001,70,29.0,1,0,functional needs repair
0.0,1680,35,30.0,1,0,non functional
1000.0,501,65,30.0,1,1,functional
0.0,466,250,13.0,1,1,functional
10.0,813,50,21.0,1,1,functional
0.0,1256,1,19.0,1,1,functional
0.0,57,1,13.0,1,1,non functional
0.0,74,1,28.0,1,1,non functional
0.0,1447,1,50.0,0,1,non functional
0.0,30,1000,22.0,1,0,non functional
5.0,1038,30,15.0,1,1,functional
0.0,1176,48,24.0,1,1,functional
0.0,717,1,46.0,1,1,non functional
0.0,1612,300,22.0,1,1,functional
0.0,118,1,14.0,1,1,non functional
0.0,277,2150,42.0,1,0,non functional
200.0,266,300,24.0,1,1,functional needs repair
0.0,288,200,40.0,1,1,functional
3600.0,899,220,43.0,1,1,functional
0.0,241,1,40.0,1,1,non functional
500.0,1842,85,13.0,1,1,functional
0.0,1010,210,16.0,1,0,non functional
0.0,306,86,21.0,1,1,functional
0.0,284,500,22.0,1,1,non functional
500.0,1929,95,13.0,1,1,functional
0.0,206,1680,12.0,1,1,functional
1500.0,1566,120,12.0,1,1,functional
0.0,30,60,44.0,1,0,non functional
0.0,1437,350,18.0,1,0,functional
0.0,1270,1,48.0,1,1,functional
0.0,2623,210,19.0,1,1,functional
0.0,636,1,19.0,1,0,non functional
0.0,1066,375,28.0,1,1,functional
0.0,549,250,22.0,1,1,non functional
0.0,288,2000,18.0,1,0,non functional
200.0,1874,1,44.0,1,1,functional
0.0,1156,125,34.0,0,1,non functional
500.0,279,700,19.0,1,1,functional
1000.0,2116,30,26.0,1,0,non functional
20.0,-32,3226,15.0,1,1,functional
0.0,1573,1,37.0,1,1,non functional
0.0,981,300,25.0,0,1,functional needs repair
50.0,1409,200,22.0,1,1,non functional
0.0,-24,560,15.0,1,0,non functional
0.0,1037,150,22.0,1,1,non functional
200.0,0,280,16.0,1,1,non functional
0.0,1621,1,11.0,1,1,functional
0.0,1721,50,16.0,1,0,non functional
500.0,725,250,24.0,1,0,functional
50.0,765,1,13.0,0,0,non functional
1500.0,1600,140,44.0,1,1,functional needs repair
1200.0,1762,0,22.0,1,1,functional
0.0,332,1,42.0,1,1,non functional
30.0,19,50,13.0,1,0,non functional
500.0,1573,150,47.0,1,1,functional
0.0,963,200,12.0,1,1,functional
0.0,-17,140,42.0,1,0,non functional
0.0,1491,1,14.0,1,1,non functional
0.0,1304,400,29.0,1,0,non functional
0.0,1243,500,39.0,0,0,non functional
0.0,988,200,44.0,1,1,functional
0.0,814,253,31.0,1,0,non functional
0.0,1455,200,12.0,1,1,functional
50.0,386,250,13.0,1,1,non functional
750.0,1298,450,47.0,1,1,functional needs repair
10.0,1527,200,13.0,1,1,functional
0.0,104,88,50.0,1,0,non functional
0.0,1794,1,30.0,1,1,functional
450.0,1604,60,27.0,1,1,functional
300.0,1337,40,14.0,1,0,functional
0.0,363,140,13.0,1,1,non functional
0.0,-33,133,46.0,0,0,non functional
0.0,1665,1,22.0,1,1,functional
25.0,93,650,10.0,1,0,functional
50.0,682,1,12.0,1,1,functional
200.0,366,50,28.0,1,1,functional
0.0,28,200,35.0,1,1,non functional
0.0,101,230,25.0,1,1,functional
0.0,1587,163,11.0,1,1,functional
0.0,495,1,40.0,1,1,non functional
0.0,317,150,25.0,1,1,non functional
0.0,72,1,14.0,1,1,non functional
40000.0,1711,430,12.0,1,1,functional
0.0,2076,0,38.0,1,0,functional
0.0,1572,1,42.0,1,1,non functional
50.0,2112,290,10.0,1,1,functional
200.0,552,150,38.0,1,1,non functional
25.0,1539,100,27.0,1,0,functional
2000.0,1529,100,37.0,1,1,functional
500.0,1855,125,13.0,1,1,functional
50.0,366,2100,12.0,1,0,functional
50.0,45,1,14.0,1,1,functional
12000.0,1020,0,20.0,1,1,functional needs repair
0.0,15,285,17.0,1,0,functional
500.0,458,300,18.0,1,1,functional
0.0,1452,1,42.0,1,1,non functional
200.0,1722,40,21.0,1,0,non functional
0.0,1391,425,15.0,1,1,functional
500.0,826,180,32.0,1,1,functional
300.0,326,1,24.0,1,1,non functional
500.0,1016,155,37.0,1,1,functional needs repair
50.0,99,150,36.0,1,1,non functional
0.0,140,250,27.0,1,0,non functional
3000.0,1912,90,29.0,1,0,non functional
0.0,360,1200,25.0,1,0,non functional
200.0,1836,1,44.0,1,1,functional
0.0,201,1,15.0,1,0,functional
0.0,1342,500,12.0,1,0,non functional
0.0,1832,1500,47.0,1,1,non functional
0.0,529,230,55.0,1,1,non functional
20.0,1014,150,13.0,1,1,non functional
200.0,316,80,11.0,1,1,functional
0.0,1818,50,24.0,0,1,non functional
50.0,1521,185,15.0,1,1,non functional
200.0,959,560,38.0,1,1,functional needs repair
500.0,1888,50,13.0,1,1,functional
0.0,-8,700,14.0,1,1,functional
0.0,873,368,22.0,1,0,functional
0.0,1683,250,17.0,0,0,non functional
500.0,1763,100,50.0,1,1,functional
0.0,289,40,44.0,0,1,non functional
0.0,915,210,48.0,1,1,non functional
0.0,1267,250,39.0,0,0,non functional
0.0,1721,25,16.0,1,0,non functional
0.0,1785,1,30.0,1,1,functional needs repair
0.0,665,150,47.0,1,0,functional
500.0,1674,1,30.0,1,0,functional
20.0,281,10,19.0,1,1,functional
0.0,-5,115,13.0,1,0,functional
0.0,717,2000,14.0,1,1,functional
20.0,294,520,18.0,1,0,non functional
50.0,178,800,12.0,1,0,functional
0.0,189,100,23.0,1,0,non functional
1000.0,1667,300,39.0,1,1,functional
0.0,1360,1,50.0,0,1,non functional
0.0,-17,45,22.0,1,0,non functional
1000.0,644,1,30.0,0,0,non functional
0.0,1170,80,59.0,1,0,functional
250.0,1255,970,29.0,1,1,non functional
200.0,2501,0,14.0,1,0,functional
0.0,995,130,50.0,1,1,functional
50.0,109,630,46.0,1,0,functional needs repair
200.0,15,40,29.0,1,1,non functional
0.0,665,120,55.0,1,1,non functional
0.0,-38,40,24.0,0,1,functional
20.0,27,200,20.0,1,0,functional
200.0,284,300,24.0,1,1,functional
250.0,1420,280,32.0,1,1,functional
250.0,1407,750,16.0,1,1,functional needs repair
0.0,286,380,47.0,1,1,functional needs repair
500.0,943,50,50.0,1,1,functional
0.0,439,250,25.0,0,1,non functional
300.0,262,75,27.0,1,1,functional
0.0,-37,345,12.0,0,0,non functional
0.0,914,450,26.0,1,0,functional
0.0,1224,123,22.0,1,1,non functional
50.0,328,130,15.0,1,1,functional
0.0,1158,350,13.0,1,0,functional
500.0,282,40,19.0,1,1,functional
0.0,696,730,32.0,1,1,functional
0.0,1782,200,18.0,1,0,functional
0.0,238,400,14.0,1,0,non functional
0.0,818,250,40.0,1,1,functional
500.0,1989,90,14.0,1,1,functional
0.0,1319,250,18.0,1,0,functional
0.0,340,1,47.0,1,1,non functional
30.0,231,12,17.0,1,1,functional
250.0,1282,230,38.0,1,1,functional
0.0,159,1,14.0,1,1,non functional
0.0,1249,48,22.0,0,1,functional
0.0,-15,600,42.0,1,0,non functional
0.0,299,150,25.0,1,1,non functional
0.0,2000,0,37.0,0,0,functional
0.0,1282,150,11.0,1,1,functional
1200.0,1061,0,32.0,1,1,functional
2000.0,775,360,21.0,1,0,non functional
500.0,413,105,24.0,1,1,functional
0.0,223,452,15.0,1,1,non functional
0.0,235,100,47.0,1,0,functional
500.0,575,1,30.0,1,0,functional needs repair
50.0,1487,350,12.0,1,1,functional
300.0,1396,240,50.0,1,0,non functional
0.0,1149,1,44.0,0,1,non functional
0.0,207,1320,43.0,1,0,non functional
6.0,1279,40,14.0,1,1,functional
0.0,334,45,12.0,1,1,functional
1200.0,737,1,30.0,1,0,non functional
7.0,1147,60,14.0,1,1,functional
20.0,895,12,18.0,1,1,functional
500.0,1545,55,44.0,1,1,functional
50.0,403,1,30.0,1,1,non functional
0.0,275,500,25.0,1,1,non functional
50.0,1549,245,14.0,1,1,functional
5.0,-36,800,44.0,1,1,functional
20.0,270,1,11.0,0,0,functional needs repair
200.0,632,120,17.0,1,1,functional needs repair
200.0,2140,14,14.0,1,0,functional
0.0,1531,400,30.0,1,0,non functional
50.0,-30,210,15.0,1,1,functional
500.0,1811,120,12.0,1,1,functional
1000.0,1584,1,33.0,1,1,functional
0.0,1252,1,46.0,0,1,non functional
0.0,15,50,14.0,1,0,non functional
0.0,1654,261,18.0,1,1,functional
30.0,28,300,44.0,1,1,functional
0.0,206,90,15.0,1,1,functional
0.0,2052,82,46.0,0,1,non functional
0.0,369,1,42.0,1,1,non functional
0.0,1416,150,20.0,1,1,functional
0.0,277,600,25.0,1,1,non functional
0.0,1605,500,50.0,1,1,functional needs repair
0.0,1356,500,26.0,1,0,functional needs repair
500.0,306,90,11.0,1,1,functional
0.0,844,450,47.0,0,0,non functional
0.0,328,550,25.0,1,1,non functional
500.0,1631,1,51.0,1,1,functional
0.0,217,400,15.0,1,1,non functional
1000.0,828,360,28.0,1,0,functional
50.0,242,300,13.0,1,0,functional
50.0,57,1,22.0,0,0,non functional
0.0,1303,50,46.0,1,1,functional
0.0,-7,1000,11.0,1,0,functional
0.0,1248,348,14.0,0,0,functional
0.0,6,200,53.0,1,0,non functional
0.0,1380,89,19.0,1,1,functional
0.0,1661,35,44.0,1,1,functional
2000.0,1418,100,38.0,1,1,non functional
0.0,1143,120,20.0,1,0,non functional
1000.0,1328,300,17.0,1,0,functional
0.0,101,600,44.0,1,0,non functional
0.0,1384,1,16.0,1,1,non functional
10.0,474,1,17.0,1,0,non functional
500.0,307,80,13.0,1,1,functional
0.0,0,412,12.0,1,0,functional
0.0,1173,500,10.0,1,0,non functional
0.0,1122,530,19.0,1,0,functional
200.0,1747,50,21.0,1,0,non functional
50.0,1211,386,30.0,1,0,non functional
0.0,372,278,34.0,1,0,non functional
300.0,760,1,37.0,1,1,non functional
0.0,295,300,24.0,1,1,non functional
500.0,150,212,23.0,1,1,non functional
500.0,1576,150,47.0,1,1,functional needs repair
0.0,323,340,33.0,1,1,non functional
2000.0,123,250,14.0,1,1,functional
0.0,0,50,40.0,1,1,functional
0.0,425,320,37.0,1,0,functional
50.0,1255,150,12.0,1,1,non functional
0.0,1610,1,20.0,1,1,functional
5000.0,1195,1,24.0,1,1,functional
0.0,1666,150,50.0,1,0,non functional
1000.0,2143,70,22.0,1,0,functional
5000.0,881,150,11.0,1,1,functional
0.0,1150,350,15.0,1,1,functional
50.0,-1,120,49.0,1,0,functional
0.0,1754,1,37.0,1,1,functional
50.0,-23,250,22.0,1,0,functional
50.0,1021,1,10.0,1,1,functional
20.0,323,200,16.0,1,1,functional
20.0,872,200,18.0,1,1,functional
100.0,-12,568,12.0,1,0,functional
0.0,1526,1,16.0,0,1,non functional
0.0,382,1,27.0,1,1,functional
0.0,353,65,10.0,1,1,functional needs repair
0.0,281,418,38.0,1,1,functional
0.0,1421,30,38.0,1,1,functional
0.0,-13,1000,17.0,0,0,non functional
0.0,306,1,40.0,1,1,non functional
0.0,1336,370,39.0,1,1,non functional
0.0,202,56,14.0,1,1,functional
500.0,1376,150,21.0,1,1,functional
50.0,1428,516,16.0,1,1,functional
0.0,1620,60,24.0,0,1,non functional
50.0,43,6922,12.0,1,0,functional
0.0,1136,1,40.0,1,1,functional needs repair
300.0,1445,155,27.0,1,1,functional
20.0,35,400,15.0,1,0,functional
300.0,287,150,14.0,1,1,functional
250.0,1282,240,16.0,1,1,functional
50.0,36,50,34.0,0,1,functional
7.0,1517,183,14.0,1,1,functional
0.0,1358,1,10.0,1,1,functional
500.0,403,1,25.0,1,1,non functional
50.0,91,150,36.0,1,1,non functional
400.0,428,100,41.0,1,1,functional
1000.0,2178,25,22.0,1,0,functional
0.0,309,1,35.0,1,1,non functional
0.0,1751,1,22.0,1,1,functional
0.0,306,650,10.0,1,1,non functional
0.0,278,100,13.0,1,1,functional
5000.0,94,6,12.0,1,1,functional
10.0,1484,90,23.0,1,1,functional
1000.0,745,1,15.0,1,0,non functional
0.0,2025,500,11.0,1,0,functional
200.0,1224,50,11.0,1,1,functional
0.0,1615,263,17.0,1,1,non functional
100.0,1178,450,10.0,1,1,functional
0.0,337,1,11.0,1,1,functional
0.0,1603,480,18.0,1,1,functional
0.0,252,650,12.0,1,1,functional
50.0,1294,1500,18.0,1,0,functional
0.0,314,350,45.0,1,1,non functional
20.0,0,1250,44.0,1,1,functional
750.0,1301,1,17.0,1,1,functional needs repair
50.0,761,1,13.0,0,0,non functional
200.0,20,120,35.0,1,1,non functional
3000.0,1445,75,21.0,1,0,functional
50.0,41,1,12.0,1,1,functional
0.0,245,1000,25.0,1,0,functional
0.0,1864,1,37.0,1,1,non functional
200.0,2171,8,14.0,1,0,functional needs repair
500.0,1716,75,44.0,1,1,functional
500.0,671,300,16.0,1,0,non functional
10.0,1513,2000,20.0,1,1,functional
0.0,1261,180,32.0,1,0,non functional
0.0,1572,1,52.0,1,1,functional
50.0,2101,240,11.0,1,1,non functional
100.0,142,360,16.0,1,0,non functional
5.0,917,500,23.0,1,1,functional
0.0,2150,80,22.0,1,0,functional
0.0,-40,100,47.0,1,1,non functional
0.0,53,100,19.0,1,0,non functional
20.0,387,1,13.0,0,1,functional
0.0,1693,321,20.0,1,1,functional
20.0,50,400,37.0,0,0,non functional
0.0,380,100,14.0,1,0,functional
0.0,1576,350,13.0,1,1,non functional
500.0,1036,250,10.0,1,0,functional
0.0,1682,300,31.0,1,0,functional
0.0,196,50,47.0,1,0,non functional
50.0,1,300,18.0,1,1,functional
100.0,536,1,24.0,1,0,non functional
50.0,104,10,12.0,1,1,functional
0.0,1708,400,14.0,1,1,non functional
1000.0,0,450,17.0,1,1,functional
1200.0,1250,250,45.0,1,1,functional
6.0,1629,70,14.0,1,1,functional
0.0,443,350,47.0,1,0,functional
1000.0,248,200,30.0,1,1,functional
0.0,1497,200,10.0,1,1,non functional
500.0,1050,420,35.0,1,0,functional
3000.0,1348,70,23.0,1,0,functional needs repair
0.0,904,250,30.0,1,1,functional
0.0,1309,400,13.0,1,0,functional
20000.0,1540,150,27.0,1,1,functional
500.0,1287,650,27.0,1,0,non functional
200.0,261,260,15.0,1,1,functional
50.0,87,1,12.0,1,1,functional
250.0,1409,620,26.0,1,1,functional
0.0,970,0,44.0,1,1,functional
50.0,606,1,11.0,0,0,functional
200.0,1758,45,21.0,1,0,functional
50.0,148,1,13.0,0,0,functional
20.0,1197,150,47.0,1,1,functional
500.0,1667,80,16.0,1,0,functional
0.0,270,50,42.0,1,1,non functional
0.0,323,1,47.0,1,1,non functional
0.0,1307,1,37.0,1,1,non functional
0.0,1653,150,15.0,1,1,functional
0.0,1691,1,62.0,1,1,functional
0.0,30,5153,15.0,1,0,non functional
0.0,200,60,12.0,1,1,functional
300.0,927,1,30.0,1,0,functional
0.0,1741,200,50.0,1,1,non functional
0.0,847,0,49.0,0,1,non functional
0.0,1453,1,50.0,0,1,non functional
0.0,1276,1,50.0,0,1,non functional
0.0,132,1,18.0,1,0,functional needs repair
100.0,66,2353,12.0,1,0,functional
0.0,1982,0,37.0,0,0,functional
0.0,984,0,19.0,1,1,functional
600.0,283,440,38.0,1,1,functional
2800.0,1551,25,21.0,1,1,functional
0.0,980,200,14.0,1,0,non functional
0.0,1944,0,22.0,1,0,functional
100.0,1195,300,50.0,1,0,non functional
0.0,1804,65,13.0,1,1,functional
0.0,-34,530,46.0,1,1,non functional
1500.0,682,250,11.0,1,1,functional
0.0,1757,1,50.0,0,1,non functional
0.0,30,1015,13.0,1,0,non functional
500.0,320,269,16.0,1,1,functional
0.0,458,44,14.0,1,0,functional
500.0,666,300,15.0,1,0,functional
500.0,1303,1,42.0,1,1,functional needs repair
0.0,1341,300,14.0,1,1,functional
0.0,1307,174,14.0,1,1,functional
0.0,293,1,18.0,1,1,non functional
0.0,303,100,40.0,1,1,non functional
1000.0,309,300,27.0,1,1,functional
0.0,1195,450,28.0,1,1,non functional
0.0,1598,130,16.0,1,1,functional
10.0,26,25,13.0,1,1,functional
4000.0,940,1,32.0,1,1,functional
0.0,245,250,25.0,1,1,non functional
0.0,1845,1,44.0,0,0,non functional
500.0,484,90,30.0,1,1,non functional
0.0,54,323,11.0,0,0,functional
0.0,319,200,50.0,1,0,non functional
0.0,298,500,29.0,1,1,functional
500.0,2068,150,14.0,1,1,functional
0.0,173,285,43.0,1,1,non functional
0.0,1540,233,22.0,1,0,functional
100.0,296,500,27.0,1,0,non functional
0.0,346,110,14.0,1,1,non functional
0.0,405,400,14.0,1,0,functional
6.0,711,180,14.0,1,1,functional
200.0,1721,120,14.0,1,0,functional
0.0,1526,300,14.0,1,0,functional
0.0,1419,1,19.0,1,1,functional
1000.0,1210,300,32.0,1,1,non functional
2000.0,1798,35,13.0,1,1,functional
200.0,1237,250,19.0,1,1,functional
500.0,1649,120,16.0,1,0,functional
0.0,1535,300,29.0,1,1,functional
0.0,1307,258,15.0,1,1,functional
3000.0,608,1,20.0,1,0,non functional
3000.0,1141,152,15.0,1,0,non functional
50.0,313,230,43.0,1,0,non functional
0.0,177,200,39.0,1,0,functional
2000.0,949,42,17.0,1,1,functional
500.0,1424,40,12.0,1,0,functional
0.0,1136,1,15.0,1,1,functional
0.0,1359,350,28.0,1,1,non functional
0.0,319,560,24.0,1,1,non functional
50.0,362,420,10.0,1,0,functional
0.0,218,800,20.0,1,1,non functional
500.0,1011,211,37.0,1,1,non functional
20.0,1,1,16.0,1,1,functional
0.0,1201,1,11.0,1,1,non functional
200.0,1106,855,16.0,1,1,functional
0.0,0,1,40.0,1,1,functional
500.0,265,80,18.0,1,1,functional needs repair
1500.0,2004,250,16.0,1,0,functional
500.0,447,250,47.0,1,1,non functional
0.0,1210,1020,21.0,1,1,functional
6.0,1071,15,14.0,1,1,functional
0.0,1000,125,32.0,1,1,functional
0.0,1928,0,22.0,1,0,functional
0.0,1095,1,52.0,1,1,non functional
20.0,263,20,19.0,1,1,non functional
0.0,1498,69,14.0,1,1,non functional
0.0,2037,100,17.0,1,1,functional
20.0,1021,100,22.0,1,1,non functional
0.0,142,80,23.0,1,0,non functional
0.0,474,250,40.0,0,1,non functional
20.0,300,10,19.0,1,1,functional
250.0,1529,350,21.0,1,1,non functional
0.0,777,280,44.0,1,0,non functional
